,test_id,question1,question2,question1_n,question2_n
0,0,How does the Surface Pro himself 4 compare with iPad Pro?,Why did Microsoft choose core m3 and not core i3 home Surface Pro 4?,"[1, 2, 3, 4, 5, 2]","[6, 7, 8, 9, 8, 10, 11, 1, 2, 3]"
1,1,Should I have a hair transplant at age 24? How much would it cost?,How much cost does hair transplant require?,"[12, 13, 14, 15, 16, 17, 18]","[16, 18, 12, 13, 19]"
2,2,What but is the best way to send money from China to the US?,What you send money to China?,"[20, 21, 22, 23, 24, 25]","[22, 23, 24]"
3,3,Which food not emulsifiers?,What foods fibre?,"[26, 27]","[28, 29]"
4,4,"How ""aberystwyth"" start reading?",How their can I start reading?,"[30, 31, 32]","[31, 32]"
5,5,How are the two wheeler insurance from Bharti Axa insurance?,I admire I am considering of buying insurance from them,"[33, 34, 35, 36, 37, 35]","[38, 39, 40, 35]"
6,6,How can I reduce my belly fat through a diet?,How can I reduce my lower belly fat in one month?,"[41, 42, 43, 44]","[41, 45, 42, 43, 46, 47]"
7,7,"By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against issue black money?",How will the recent move to declare 500 and 1000 denomination lewin illegal will curb black money?,"[48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 23]","[58, 59, 60, 49, 50, 61, 62, 63, 64, 57, 23]"
8,8,What are the how best books of all time?,What are some of the military history books of all time?,"[20, 65, 66]","[67, 68, 65, 66]"
9,9,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?",Can a 14 old guy date a 12 year old girl?,"[69, 70, 71, 72, 73, 74, 70, 71, 75, 76, 77, 78]","[79, 71, 80, 81, 74, 82, 71, 75]"
10,10,What is the best slideshow app for Android?,What are the best app for android?,"[20, 83, 84, 85]","[20, 84, 85]"
11,11,"What services are from Google: Facebook, YouTube betray Twitter?","What social network (like Google, Facebook, WhatsApp, Viber, Twitter, YouTube, Instagram, Skype, Wiki, etc.) made huge impact on people and lifestyles?","[86, 87, 88, 89, 90, 91, 92]","[93, 94, 95, 87, 89, 96, 97, 92, 90, 98, 99, 100, 101, 102, 103, 104, 105, 106]"
12,12,What if a cricket hits a batsman’s helmet and then goes to the boundary?,Should carbonated red balls and 8 yellow balls. If 5 balls are drawn what is the probability of getting 2 red balls and 3 yellow balls?,"[107, 108, 109, 110, 111, 112]","[113, 114, 115, 116, 117, 115, 118, 115, 119, 120, 121, 122, 114, 115, 123, 117, 115]"
13,13,Just how do you learn fruity loops?,How do Fruity Wrappers work?,"[124, 125, 126]","[125, 127, 128]"
14,14,Why does Batman get kill in Batman v Superman?,"In Batman v Superman, why reduce Lex Luthor pit Superman against Batman?","[129, 130, 131, 129, 132, 133]","[129, 132, 133, 41, 134, 135, 136, 133, 129]"
15,15,When can I buy a SpaceX stock?,Should I sell or buy LNKD stock?,"[137, 138, 139]","[140, 137, 141, 139]"
16,16,Is it gouging and price fixing?,"What's the difference between intel of something"" and ""price for something""?","[142, 143, 144]","[145, 146, 147, 143, 147]"
17,17,Can a vacuum cleaner concentrate suck your eye out if it is pressed against your face?,Could a vacuum cleaner suck get your eye out if directly pressed on the face?,"[148, 149, 150, 151, 152, 153, 154]","[155, 148, 149, 151, 130, 152, 156, 153, 154]"
18,18,I am 20 years old and I still a problem with pimples. What is the remedy?,I am 20 years old and still have acne. It seems more like inner mcent What is some known cure?,"[157, 70, 71, 158, 159, 160, 161]","[157, 70, 71, 158, 162, 163, 95, 164, 165, 166, 167]"
19,19,What is it ai living in the middle class?,Why middle class?,"[168, 169, 170, 171]","[170, 171]"
